Population Size,Mutation Rate,Crossover Rate,Best Fitness,Time,Iterations
120,0.03,0.6,36852.46882796252,5.634124755859375,3500
120,0.03,0.71,30724.86629727073,7.389302015304565,3500
120,0.03,0.82,41513.03175776167,5.868617057800293,3500
120,0.03,0.9,36908.68035330732,8.386167764663696,3500
120,0.12,0.6,28929.972849553706,4.80678915977478,3500
120,0.12,0.71,27996.464186326128,5.394438982009888,3500
120,0.12,0.82,33698.63713371408,4.713584899902344,3500
120,0.12,0.9,29619.03063222066,6.968084096908569,3500
120,0.2,0.6,25776.997084310842,4.7895448207855225,3500
120,0.2,0.71,25498.83693443139,6.151471853256226,3500
120,0.2,0.82,28583.69744757214,5.278714179992676,3500
120,0.2,0.9,28183.079875149353,5.7935850620269775,3500
280,0.03,0.6,33944.96484035611,9.900561094284058,3500
280,0.03,0.71,31231.16656939199,13.314379930496216,3500
280,0.03,0.82,29457.225293609787,20.33530592918396,3500
280,0.03,0.9,37531.32746927761,9.202801942825317,3500
280,0.12,0.6,23552.227841276715,11.595031976699829,3500
280,0.12,0.71,25833.672468822206,12.815407276153564,3500
280,0.12,0.82,25011.730980711276,17.134228944778442,3500
280,0.12,0.9,24723.25069967947,17.351983785629272,3500
280,0.2,0.6,23241.118235997877,11.845462083816528,3500
280,0.2,0.71,23662.185959928345,13.669661283493042,3500
280,0.2,0.82,24984.50698382081,10.56821608543396,3500
280,0.2,0.9,25071.89064639972,16.974183082580566,3500
470,0.03,0.6,27842.47786147764,22.90975022315979,3500
470,0.03,0.71,26900.14688372969,25.352139711380005,3500
470,0.03,0.82,28394.11192309019,25.401604890823364,3500
470,0.03,0.9,27806.000514503656,29.571079969406128,3500
470,0.12,0.6,23685.863582755344,18.069315910339355,3500
470,0.12,0.71,25856.05078047197,16.955683946609497,3500
470,0.12,0.82,24943.659003767778,27.92517876625061,3500
470,0.12,0.9,23367.254181872893,23.867032766342163,3500
470,0.2,0.6,23222.865380644762,20.492727041244507,3500
470,0.2,0.71,23171.564184931747,19.208811044692993,3500
470,0.2,0.82,24110.609197019272,25.768582820892334,3500
470,0.2,0.9,24351.477468422134,22.17015314102173,3500
